,Date,month,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
100,30-Jul-17,Jul,2724.39,2758.53,2644.85,2757.18,"705,943,000","44,890,700,000",2740.785,1.722637982,-0.070560111,TRUE
101,29-Jul-17,Jul,2807.02,2808.76,2692.8,2726.45,"803,746,000","46,246,700,000",2766.735,1.745961782,0.023323799,FALSE
102,28-Jul-17,Jul,2679.73,2897.45,2679.73,2809.01,"1,380,100,000","44,144,400,000",2744.37,1.725860172,-0.02010161,TRUE
103,27-Jul-17,Jul,2538.71,2693.32,2529.34,2671.78,"789,104,000","41,816,500,000",2605.245,1.600814947,-0.125045225,TRUE
104,26-Jul-17,Jul,2577.77,2610.76,2450.8,2529.45,"937,404,000","42,455,000,000",2553.61,1.554405529,-0.046409417,FALSE
105,25-Jul-17,Jul,2757.5,2768.08,2480.96,2576.48,"1,460,090,000","45,410,100,000",2666.99,1.656311209,0.101905679,FALSE
106,24-Jul-17,Jul,2732.7,2777.26,2699.19,2754.86,"866,474,000","44,995,600,000",2743.78,1.725329881,0.069018673,TRUE
107,23-Jul-17,Jul,2808.1,2832.18,2653.94,2730.4,"1,072,840,000","46,231,100,000",2769.25,1.748222258,0.022892377,FALSE
108,22-Jul-17,Jul,2668.63,2862.42,2657.71,2810.12,"1,177,130,000","43,929,600,000",2739.375,1.721370678,-0.02685158,TRUE
109,21-Jul-17,Jul,2838.41,2838.41,2621.85,2667.76,"1,489,450,000","46,719,000,000",2753.085,1.733693194,0.012322516,TRUE
110,20-Jul-17,Jul,2580.745,2617.79,2441.04,2470.595,"2,249,260,000","37,356,800,000",2525.67,1.529293122,-0.204400071,TRUE
111,19-Jul-17,Jul,2323.08,2397.17,2260.23,2273.43,"1,245,100,000","38,227,800,000",2298.255,1.324893051,-0.204400071,FALSE
112,18-Jul-17,Jul,2233.52,2387.61,2164.77,2318.88,"1,512,450,000","36,749,400,000",2276.2,1.305070069,-0.019822983,TRUE
113,17-Jul-17,Jul,2112.75,2223.19,2003.9,2124.35,"1,201,760,000","31,795,000,000",2118.55,1.163374617,-0.141695452,TRUE
114,16-Jul-17,Jul,1991.98,2058.77,1843.03,1929.82,"1,182,870,000","32,767,600,000",1960.9,1.021679165,-0.141695452,FALSE
115,15-Jul-17,Jul,2176.285,2211.01,2013.125,2081.58,"993,608,000","36,681,300,000",2128.9325,1.172706383,0.151027219,FALSE
116,14-Jul-17,Jul,2360.59,2363.25,2183.22,2233.34,"882,503,000","38,823,100,000",2296.965,1.323733602,0.151027219,FALSE
117,13-Jul-17,Jul,2402.7,2425.22,2340.83,2357.9,"835,770,000","39,511,000,000",2380.3,1.398634906,0.074901304,FALSE
118,12-Jul-17,Jul,2332.77,2423.71,2275.14,2398.84,"1,117,410,000","38,355,900,000",2365.805,1.385606834,-0.013028072,TRUE
119,11-Jul-17,Jul,2385.89,2413.47,2296.81,2337.79,"1,329,760,000","39,224,200,000",2361.84,1.382043101,-0.003563733,FALSE
120,10-Jul-17,Jul,2525.25,2537.16,2321.13,2372.56,"1,111,200,000","41,509,000,000",2448.905,1.46029692,0.078253819,FALSE
121,9-Jul-17,Jul,2572.61,2635.49,2517.59,2518.44,"527,856,000","42,283,200,000",2545.525,1.54713875,0.086841831,FALSE
122,8-Jul-17,Jul,2520.27,2571.34,2492.31,2571.34,"733,330,000","41,417,700,000",2545.805,1.547390414,0.000251663,TRUE
123,7-Jul-17,Jul,2608.59,2916.14,2498.87,2518.66,"917,412,000","42,864,200,000",2563.625,1.563406988,0.016016574,FALSE
